chi2,comparison,dof,mean,n,offset,p
1089.6022214656668,weighted flat,93,21379.77458524741,94,,1.0580301644496441e-169
179.20751959887858,ScCHIMERA full + fitted vertical offset,93,,94,-62.954231984993115,2.0277006872565304e-07
953.9862769684842,ScCHIMERA no CO2 + fitted vertical offset,93,,94,54.916833893343735,7.116001850275969e-143
